IP	code	opcode	oprand	comment	FaultARM	fault-injection-simulation	ChaosDuck	FaultFinder (rehosting)	FaultFinder	Grand Truth	Type	Reason
 700:	e59f2020 	ldr	"r2, [pc, #32]"	@ 728 <countermeasure+0x30>								
 704:	e08f2002 	add	"r2, pc, r2"									
 708:	e59f301c 	ldr	"r3, [pc, #28]"	@ 72c <countermeasure+0x34>								
 70c:	e7923003 	ldr	"r3, [r2, r3]"									
 710:	e3a02001 	mov	"r2, #1"		o						FaultARM	
 714:	e5c32000 	strb	"r2, [r3]"		o						FaultARM	
 718:	e320f000 	nop	{0}									
 71c:	e28bd000 	add	"sp, fp, #0"									
 720:	e49db004 	pop	{fp}	"@ (ldr fp, [sp], #4)"								
 724:	e12fff1e 	bx	lr									
 728:	000018ac 	andeq	"r1, r0, ip, lsr #17"									
 72c:	38	andeq	"r0, r0, r8, lsr r0"									
00000730 <initialize>:												
 730:	e52db004 	push	{fp}	"@ (str fp, [sp, #-4]!)"								
 734:	e28db000 	add	"fp, sp, #0"									
 738:	e24dd00c 	sub	"sp, sp, #12"									
 73c:	e59f30c4 	ldr	"r3, [pc, #196]"	@ 808 <initialize+0xd8>								
 740:	e08f3003 	add	"r3, pc, r3"									
 744:	e3a02000 	mov	"r2, #0"		o						FaultARM	
 748:	e5c32000 	strb	"r2, [r3]"	@ 80c <initialize+0xdc>	o						FaultARM	
 74c:	e59f30b8 	ldr	"r3, [pc, #184]"									
 750:	e08f3003 	add	"r3, pc, r3"									
 754:	e3a02003 	mov	"r2, #3"		o						FaultARM	
 758:	e5c32000 	strb	"r2, [r3]"	@ 810 <initialize+0xe0>	o						FaultARM	
 75c:	e59f30ac 	ldr	"r3, [pc, #172]"									
 760:	e08f3003 	add	"r3, pc, r3"									
 764:	e3a02000 	mov	"r2, #0"									
 768:	e5c32000 	strb	"r2, [r3]"		o						FaultARM	
 76c:	e3a03000 	mov	"r3, #0"		o	o	o	o	o	o	-	"Skipping 'mov 0' for I = 0. Since i = r3 = *g_countermeasure, almost always True."
 770:	e50b3008 	str	"r3, [fp, #-8]"		o		o	o		o	Initial state	"Skipping loop counter i = 0 in initialization g_cardPin. Depends on stack state. If [fp - 8] on stack is ≥ PIN_SIZE, loop does not run (possibly written by ELF loader). If g_cardPin is zero-initialized, then True."
 774:	ea00000c 	b	7ac <initialize+0x7c>									
 778:	e51b3008 	ldr	"r3, [fp, #-8]"									
 77c:	e6ef3073 	uxtb	"r3, r3"									
 780:	e2833001 	add	"r3, r3, #1"									
 784:	e6ef1073 	uxtb	"r1, r3"	@ 814 <initialize+0xe4>					o		Initial state	"Skipping r1 when g_cardPin = i + 1 (r1). Not used after main(); depends on ELF loader. In QEMU, address is loaded, so it doesn't match g_userPin."
 788:	e59f2084 	ldr	"r2, [pc, #132]"			o					Invalid access	Skipping access to g_cardPin via offset -> likely segfault.
 78c:	e08f2002 	add	"r2, pc, r2"			o					Invalid access	Skipping access to g_cardPin via base (pc) -> likely segfault.
 790:	e51b3008 	ldr	"r3, [fp, #-8]"									
 794:	e0823003 	add	"r3, r2, r3"			o					Invalid access	i[i] = i + 1 makes g_cardPin undefined; but i[i] access causes segfault.
 798:	e1a02001 	mov	"r2, r1"									
 79c:	e5c32000 	strb	"r2, [r3]"				o	o	o	o	Unexplainable	"Skipping g_cardPin[i] = i + 1. If g_cardPin is in initial state (zero-initialized), then True."
 7a0:	e51b3008 	ldr	"r3, [fp, #-8]"									
 7a4:	e2833001 	add	"r3, r3, #1"									
 7a8:	e50b3008 	str	"r3, [fp, #-8]"									
 7ac:	e51b3008 	ldr	"r3, [fp, #-8]"		o							
 7b0:	e3530003 	cmp	"r3, #3"		o	o					Initial state	"Skipping i < PIN_SIZE for g_cardPin. Depends on cmp, and since initialize() has no prior cmp, program dependent. (N = 1"
 7b4:	daffffef 	ble	778 <initialize+0x48>		o	o	o	o	o	o	-	Skipping g_cardPin initialization -> always True.
 7b8:	e3a03000 	mov	"r3, #0"		o							
 7bc:	e50b3008 	str	"r3, [fp, #-8]"		o							
 7c0:	ea000008 	b	7e8 <initialize+0xb8>	@ 818 <initialize+0xe8>								
 7c4:	e59f204c 	ldr	"r2, [pc, #76]"									
 7c8:	e08f2002 	add	"r2, pc, r2"									
 7cc:	e51b3008 	ldr	"r3, [fp, #-8]"									
 7d0:	e0823003 	add	"r3, r2, r3"									
 7d4:	e3a02000 	mov	"r2, #0"		o							
 7d8:	e5c32000 	strb	"r2, [r3]"		o							
 7dc:	e51b3008 	ldr	"r3, [fp, #-8]"									
 7e0:	e2833001 	add	"r3, r3, #1"									
 7e4:	e50b3008 	str	"r3, [fp, #-8]"									
 7e8:	e51b3008 	ldr	"r3, [fp, #-8]"									
 7ec:	e3530003 	cmp	"r3, #3"		o			o	o	o	Revert	"Ignoring g_userPin size check. g_userPin and g_cardPin are adjacent, so g_cardPin may overwrite. Applies in this case, but might fail in actual user-input scenarios. Revert interrupts the process mid-way and avoids infinite loop."
 7f0:	dafffff3 	ble	7c4 <initialize+0x94>		o							
 7f4:	e320f000 	nop	{0}									
 7f8:	e320f000 	nop	{0}									
 7fc:	e28bd000 	add	"sp, fp, #0"	"@ (ldr fp, [sp], #4)"								
 800:	e49db004 	pop	{fp}									
 804:	e12fff1e 	bx	lr					o	o	o	"{fisimulation: Unexplainable, chaos duck: Success condition}"	"Skipping bx lr. super_secret lies below; following data interpreted as conditional instructions -> reaches secret. Damage unnoticeable from standard output. Undetectable by fault-injection-simulation likely due to strange behavior, not tool limitation."
 808:	1904	andeq	"r1, r0, r4, lsl #18"									
 80c:	000018f5 	strdeq	"r1, [r0], -r5"									
 810:	18000000	andeq	"r1, r0, r6, ror #17"									
 814:	000018c0 	andeq	"r1, r0, r0, asr #17"									
 818:	1880	andeq	"r1, r0, r0, lsl #17"									
0000081c <super_secret_function>:												
 81c:	e52db004 	push	{fp}	"@ (str fp, [sp, #-4]!)"								
 820:	e28db000 	add	"fp, sp, #0"									
 824:	e320f000 	nop	{0}									
 828:	e28bd000 	add	"sp, fp, #0"									
 82c:	e49db004 	pop	{fp}	"@ (ldr fp, [sp], #4)"								
 830:	e12fff1e 	bx	lr									
00000834 <main>:												
 834:	e92d4830 	push	"{r4, r5, fp, lr}"									
 838:	e28db00c 	add	"fp, sp, #12"									
 83c:	e59f4064 	ldr	"r4, [pc, #100]"									
 840:	e08f4004 	add	"r4, pc, r4"									
 844:	ebffffb9 	bl	730 <initialize>	@ 8a8 <main+0x74>								
 848:	ebffff74 	bl	620 <verifyPIN>									
