IP	mask	code	opcode	oprand	ChaosDuck	FaultFinder (rehosting)	FaultFinder	Grand Truth	Type	Reason
5b0	200	e54b3215	strb	"r3, [fp, #-0x215]"	o	o	o	o	-	From unused region -> No effect
5b0	400	e54b3415	strb	"r3, [fp, #-0x415]"	o	o	o	o	-	From unused region -> No effect
5b0	800	e54b3815	strb	"r3, [fp, #-0x815]"	o	o	o	o	-	From unused region -> No effect
5b0	4000	e54b7015	strb	"r7, [fp, #-0x15]"			o		Initial state	From r7 = 0x409b0e54 -> Attack Failed
5b0	20000	e5493015	strb	"r3, [sb, #-0x15]"		o			Write attribute	From ro area -> Attack Failed
5b0	40000	e54f3015	strb	"r3, [pc, #-0x15]"		o	o		Write attribute	From .text having RE attribute -> Attack Failed
5b0	100000	e55b3015	ldrb	"r3, [fp, #-0x15]"	o	o	o	o	-	Load operation -> No effect
5b0	800000	e5cb3015	strb	"r3, [fp, #0x15]"	o	o	o	o	-	From unused region -> No effect
5b0	2000000	e74b3015	smlald	"r3, fp, r5, r0"	o	o	o	o	-	"{fp:r3} = {fp:r3} + ((int16)r5[15:0] ÁE(int16)r0[15:0]) + ((int16)r5[31:16] ÁE(int16)r0[31:16]); r0 = 0x402050, r3 = 4, r5 = 1 -> fp = fp, r3 = 0x2054"
5b0	80000000	654b3015	strbvs	"r3, [fp, #-0x15]"	o	o	o	o	-	strb if OVFL = 1; since V = 0 -> Attack Possible
5b4	0	e3a03000	mov	"r3, #0"	-	-	-	-	-	"int i = 0; since r3 = PIN_SIZE, either skip or r3 >= PIN_SIZE -> Attack Possible"
5b4	4	e3a03004	mov	"r3, #4"	o	o	o	o	-	r3>=
5b4	8	e3a03008	mov	"r3, #8"	o	o	o	o	-	r3>=
5b4	10	e3a03010	mov	"r3, #0x10"	o	o	o	o	-	r3>=
5b4	20	e3a03020	mov	"r3, #0x20"	o	o	o	o	-	r3>=
5b4	40	e3a03040	mov	"r3, #0x40"	o	o	o	o	-	r3>=
5b4	80	e3a03080	mov	"r3, #0x80"	o	o	o	o	-	r3>=
5b4	1000	e3a02000	mov	"r2, #0"	o	o	o	o	-	IS
5b4	2000	e3a01000	mov	"r1, #0"	o	o	o	o	-	IS
5b4	4000	e3a07000	mov	"r7, #0"	o	o	o	o	-	IS
5b4	200000	e3803000	orr	"r3, r0, #0"	o	o	o	o	-	r3>=
5b4	1000000	e2a03000	adc	"r3, r0, #0"	o	o	o	o	-	r3>=
5b4	2000000	e1a03000	mov	"r3, r0"	o	o	o	o	-	r3>=
5b4	80000000	63a03000	movvs	"r3, #0"	o	o	o	o	-	mov if OVFL = 1; since V = 0 -> Attack Possible
5b8	0	e50b3008	str	"r3, [fp, #-8]"	-	-	-	-	-	Assigning int i into [fp -8] to [fp -4] (4 bytes of int i); IS -> Attack Possible; [$fp -8] = 0x40817718
5b8	1	e50b3009	str	"r3, [fp, #-9]"	o	o		o	Initial state	From unused region -> No effect
5b8	2	e50b300a	str	"r3, [fp, #-0xa]"	o	o		o	Initial state	From unused region -> No effect
5b8	4	e50b300c	str	"r3, [fp, #-0xc]"	o	o		o	Initial state	From unused region -> No effect
5b8	8	e50b3000	str	"r3, [fp, #-0]"	o	o		o	Initial state	From unused region -> No effect
5b8	10	e50b3018	str	"r3, [fp, #-0x18]"	o	o	o	o	-	From unused region -> No effect
5b8	20	e50b3028	str	"r3, [fp, #-0x28]"	o	o		o	Initial state	From unused region -> No effect
5b8	40	e50b3048	str	"r3, [fp, #-0x48]"	o	o		o	Initial state	From unused region -> No effect
5b8	80	e50b3088	str	"r3, [fp, #-0x88]"	o	o		o	Initial state	From unused region -> No effect
5b8	100	e50b3108	str	"r3, [fp, #-0x108]"	o	o		o	Initial state	From unused region -> No effect
5b8	200	e50b3208	str	"r3, [fp, #-0x208]"	o	o		o	Initial state	From unused region -> No effect
5b8	400	e50b3408	str	"r3, [fp, #-0x408]"	o	o		o	Initial state	From unused region -> No effect
5b8	800	e50b3808	str	"r3, [fp, #-0x808]"	o	o		o	Initial state	From unused region -> No effect
5b8	1000	e50b2008	str	"r2, [fp, #-8]"	o	o	o	o	-	From r2 = PIN_SIZE = i -> Attack Possible
5b8	2000	e50b1008	str	"r1, [fp, #-8]"	o	o	o	o	-	From r1 = *g_cardPin -> Attack Possible
5b8	4000	e50b7008	str	"r7, [fp, #-8]"	o	o		o	Initial state	From r7 = 0x409afe54 -> Attack Possible
5b8	8000	e50bb008	str	"fp, [fp, #-8]"	o	o	o	o	-	From fp = 0x407ff99c -> Attack Possible
5b8	20000	e5093008	str	"r3, [sb, #-8]"		o			Write attribute	0x40828cd0 <__pointer_chk_guard>: 0xb357099b; from ro region -> Attack Failed
5b8	40000	e50f3008	str	"r3, [pc, #-8]"		o			Write attribute	From .text with RX attribute -> Attack Failed
5b8	100000	e51b3008	ldr	"r3, [fp, #-8]"	o	o		o	Initial state	IS -> Attack Possible
5b8	400000	e54b3008	strb	"r3, [fp, #-8]"	o	o		o	Initial state	"[$fp - 8] = 0x40817700, so if i > PIN_SIZE -> Attack Possible"
5b8	800000	e58b3008	str	"r3, [fp, #8]"	o	o		o	Initial state	verifyPin does not use fp -> Attack Possible
5b8	2000000	e70b3008	str	"r3, [fp, -r8]"	o	o		o	Initial state	r8 = 0x400834; from stack region -> No effect
5b8	80000000	650b3008	strvs	"r3, [fp, #-8]"	o	o		o	Initial state	"Since V = 0, not executed -> Attack Possible"
5bc	0	ea00000e	b	#0x1040	-	-	-	-	-	Jump to check of i < PIN_SIZE
5bc	1	ea00000f	b	#0x1044	o	o	o	o	-	"Since r3 = PIN_SIZE is not executed, r3 = i = 0 -> Attack Possible"
5bc	2000000	e800000e	stmda	"r0, {r1, r2, r3}"	o	o	o	o	-	"[r0-8] = ? = r1, [r0-4] = n/a or g_countermeasure or g_ptc or g_authenticated = r2 = 4; [r0] = g_userPin = r1 = *g_cardPin = 0x402054; then r0 = r0 - 8"
5c4	0	e51b2010	ldr	"r2, [fp, #-0x10]"	-	-	-	-	-	Load from *g_userPin
5c4	4	e51b2014	ldr	"r2, [fp, #-0x14]"	o	o	o	o	-	Load from *g_cardPin -> Attack Possible
5cc	0	e5d32000	ldrb	"r2, [r3]"	-	-	-	-	-	Load g_userPin[i]
5cc	4	e5d32004	ldrb	"r2, [r3, #4]"	o	o	o	o	-	g_userPin[i+4] = g_cardPin[i] -> Attack Possible
5d4	0	e51b1014	ldr	"r1, [fp, #-0x14]"	-	-	-	-	-	Load from *g_cardPin
5d4	1	e51b1015	ldr	"r1, [fp, #-0x15]"	o	o	o	o	-	"From 0x14: |00|40|20|54|04(PIN_SIZE), r1 = 40205404; this indicates 0 in unused stack data -> Attack Possible"
5d4	4	e51b1010	ldr	"r1, [fp, #-0x10]"	o	o	o	o	-	Load from *g_userPin -> Attack Possible
5d8	0	e0813003	add	"r3, r1, r3"	-	-	-	-	-	g_cardPin[i]
5d8	10000	e0803003	add	"r3, r0, r3"	o	o	o	o	-	From r0 = *g_userPin -> Attack Possible
5d8	80000	e0893003	add	"r3, sb, r3"	o	o		o	Initial state	From sb = 0x40828cd8 <_rtld_global_ro>: 0x00000000 -> Attack Possible
5d8	400000	e0c13003	sbc	"r3, r1, r3"	o	o	o	o	-	"r3 = r1 - r3 - 1 = *g_cardPin - i - (1 - C); since C = 0, g_cardPin[-1 to -3] = g_userPin -> Attack Possible"
5dc	0	e5d33000	ldrb	"r3, [r3]"	-	-	-	-	-	r3 = g_cardPin[i]
5dc	4	e5d33004	ldrb	"r3, [r3, #4]"	o	o	o	o	-	From unused region -> 0
5dc	8	e5d33008	ldrb	"r3, [r3, #8]"	o	o	o	o	-	From unused region -> 0
5dc	10	e5d33010	ldrb	"r3, [r3, #0x10]"	o	o	o	o	-	r3 = g_cardPin[i + 16]
5dc	20	e5d33020	ldrb	"r3, [r3, #0x20]"	o	o	o	o	-	From unused region -> 0
5dc	40	e5d33040	ldrb	"r3, [r3, #0x40]"	o	o	o	o	-	From unused region -> 0
5dc	80	e5d33080	ldrb	"r3, [r3, #0x80]"	o	o	o	o	-	From unused region -> 0
5dc	100	e5d33100	ldrb	"r3, [r3, #0x100]"	o	o	o	o	-	From unused region -> 0
5dc	200	e5d33200	ldrb	"r3, [r3, #0x200]"	o	o	o	o	-	From unused region -> 0
5dc	400	e5d33400	ldrb	"r3, [r3, #0x400]"	o	o	o	o	-	From unused region -> 0
5dc	800	e5d33800	ldrb	"r3, [r3, #0x800]"	o	o	o	o	-	From unused region -> 0
5.00E+00	0	e1520003	cmp	"r2, r3"	-	-	-	-	-	a1 vs. a2
5.00E+00	1	e1520002	cmp	"r2, r2"	o	o	o	o	-	Since Z = 1 -> Attack Possible
5.00E+00	4	e1520007	cmp	"r2, r7"			o		Initial state	From r7 = 0x409b0e54 -> Attack Failed
5.00E+00	10	e1520013	cmp	"r2, r3, lsl r0"	o	o	o	o	-	r3 << *g_userPin = 0x0402050 = 0 -> Attack Possible
5.00E+00	20	e1520023	cmp	"r2, r3, lsr #32"	o	o	o	o	-	g_userPin[i] vs. (g_cardPin[i] << 32 = 0) -> Attack Possible
5.00E+00	40	e1520043	cmp	"r2, r3, asr #32"	o	o	o	o	-	g_userPin[i] vs. (g_cardPin[i] >> 32 = 0) -> Attack Possible
5.00E+00	10000	e1530003	cmp	"r3, r3"	o	o	o	o	-	Since Z = 1 -> Attack Possible
5.00E+00	400000	e1120003	tst	"r2, r3"	o	o	o	o	-	"r2 = 0 AND r3 -> always 0; since Z = 1, N = 0 -> treated as equal -> Attack Possible"
5.00E+00	800000	e1d20003	bics	"r0, r2, r3"	o	o	o	o	-	r0 = r2 AND (NOT r3); since r2 = 0 -> Z = 1 -> treated as equal -> Attack Possible
5.00E+04	0	0a000001	beq	#0x100c	-	-	-	-	-	If Z = 1 then continue processing
5.00E+04	10000000	1a000001	bne	#0x100c	o	o	o	o	-	Continue if Z = 0; but a1 != a2 -> Attack Possible
5.00E+04	40000000	4a000001	bmi	#0x100c	o	o	o	o	-	Continue if N = 1; since a1 = 0 < a2 -> Attack Possible
5.00E+08	0	e3a03000	mov	"r3, #0"	-	-	-	-	-	ret 0; originally r3 = 1 -> IS -> Attack Possible; NZCV = 1000
5.00E+08	1	e3a03001	mov	"r3, #1"	o	o	o	o	-	ret 1 -> Attack Possible
5.00E+08	1000	e3a02000	mov	"r2, #0"	o	o	o	o	-	From r3 = g_cardPin[0] = 1 -> Attack Possible
5.00E+08	2000	e3a01000	mov	"r1, #0"	o	o	o	o	-	r3 continues
5.00E+08	4000	e3a07000	mov	"r7, #0"	o	o	o	o	-	r3 continues
5.00E+08	20000000	c3a03000	movgt	"r3, #0"	o	o	o	o	-	"If Z = 0 and N = V, not executed -> Attack Possible"
5.00E+08	40000000	a3a03000	movge	"r3, #0"	o	o	o	o	-	"If N = V, not executed -> Attack Possible"
5.00E+08	80000000	63a03000	movvs	"r3, #0"	o	o	o	o	-	"If V = 1, not executed -> Attack Possible"
5ec	0	ea000007	b	#0x1024	-	-	-	-	-	Return logic; if no side effect and continues -> loop runs until i = PIN_SIZE; NZCV = 1000
5ec	1	ea000006	b	#0x1020	o	o	o	o	-	"Jump to mov r3, #1 -> Attack Possible"
5ec	4	ea000003	b	#0x1014	o	o	o	o	-	"Jump to IP = 600; since if(i < r3 = 0), no branch, goes to equality success logic"
5ec	80	ea000087	b	#0x1224		o	o	o	Success condition	Jump to 810; to conditional instruction before super_secret -> Attack Possible
5ec	2000000	e8000007	stmda	"r0, {r0, r1, r2}"	o	o	o	o	-	r0=*g_userPin; [r0]=r2=0; [r0-4]=g_auth|g_ptc|g_coutner|n/a=0x00402054; [r0-8]=r0; r0=r0-8; no effect
5ec	8000000	e2000007	and	"r0, r0, #7"	o	o	o	o	-	No effect
5ec	20000000	ca000007	bgt	#0x1024	o	o	o	o	-	"If Z = 0 and N = V, not executed"
5ec	40000000	aa000007	bge	#0x1024	o	o	o	o	-	Jump if N = V
5ec	80000000	6a000007	bvs	#0x1024	o	o	o	o	-	Jump if V = 1; not jumped
5fc	0	e55b3015	ldrb	"r3, [fp, #-0x15]"	-	-	-	-	-	r3 = PIN_SIZE; before execution r3 = 0 = initial value of i; IS -> Attack Possible
5fc	2	e55b3017	ldrb	"r3, [fp, #-0x17]"	o	o	o	o	-	From r3 = 0 -> Attack Possible
5fc	4	e55b3011	ldrb	"r3, [fp, #-0x11]"	o	o	o	o	-	0x407ff98b: 0x00
5fc	8	e55b301d	ldrb	"r3, [fp, #-0x1d]"	o	o	o	o	-	From r3 = 0 -> Attack Possible
5fc	10	e55b3005	ldrb	"r3, [fp, #-5]"	o	o	o	o	-	[fp-8]--[fp-5] = i; since r3 = 0 -> Attack Possible
5fc	20	e55b3035	ldrb	"r3, [fp, #-0x35]"	o	o	o	o	-	From r3 = 0 -> Attack Possible
5fc	40	e55b3055	ldrb	"r3, [fp, #-0x55]"	o	o	o	o	-	From r3 = 0 -> Attack Possible
5fc	80	e55b3095	ldrb	"r3, [fp, #-0x95]"	o	o	o	o	-	From r3 = 0 -> Attack Possible
5fc	100	e55b3115	ldrb	"r3, [fp, #-0x115]"	o	o	o	o	-	From r3 = 0 -> Attack Possible
5fc	200	e55b3215	ldrb	"r3, [fp, #-0x215]"			o		Initial state	[fp-0x215] = 0x407ff787: 0x36 -> Attack Failed
5fc	400	e55b3415	ldrb	"r3, [fp, #-0x415]"	o	o	o	o	-	From r3 = 0 -> Attack Possible
5fc	800	e55b3815	ldrb	"r3, [fp, #-0x815]"	o	o	o	o	-	From r3 = 0 -> Attack Possible
5fc	1000	e55b2015	ldrb	"r2, [fp, #-0x15]"	o	o	o	o	-	IS -> Attack Possible
5fc	2000	e55b1015	ldrb	"r1, [fp, #-0x15]"	o	o	o	o	-	IS -> Attack Possible
5fc	4000	e55b7015	ldrb	"r7, [fp, #-0x15]"	o	o	o	o	-	IS -> Attack Possible
5fc	20000	e5593015	ldrb	"r3, [sb, #-0x15]"	o	o		o	Initial state	sb-0x15 = 0x40828cc3: 0x00
5fc	100000	e54b3015	strb	"r3, [fp, #-0x15]"	o	o	o	o	-	IS -> Attack Possible
5fc	800000	e5db3015	ldrb	"r3, [fp, #0x15]"			o		Initial state	"[fp, #0x15] = 0xfb -> Attack Failed"
5fc	80000000	655b3015	ldrbvs	"r3, [fp, #-0x15]"	o	o	o	o	-	"If V = 1 executed; since NZCV = 0010, not executed -> Attack Possible"
600	0	e51b2008	ldr	"r2, [fp, #-8]"	-	-	-	-	-	"Load i; before execution, r2 = PIN_SIZE -> IS -> Attack Possible"
600	2	e51b200a	ldr	"r2, [fp, #-0xa]"	o	o		o	Initial state	0x407ff992: 0x00000040
600	4	e51b200c	ldr	"r2, [fp, #-0xc]"	o	o		o	Initial state	0x407ff990: 0x00400034
600	8	e51b2000	ldr	"r2, [fp, #-0]"	o	o	o	o	-	0x407ff99c: 0x407ff9ac
600	10	e51b2018	ldr	"r2, [fp, #-0x18]"	o	o	o	o	-	0x407ff984: 0x04000000; -> Attack Possible
600	20	e51b2028	ldr	"r2, [fp, #-0x28]"	o	o		o	Initial state	0x407ff974: 0x40828cd8
600	200	e51b2208	ldr	"r2, [fp, #-0x208]"	o	o		o	Initial state	0x407ff794: 0x4081ae80
600	1000	e51b3008	ldr	"r3, [fp, #-8]"	o	o	o	o	-	r3 = 0; since r2 = PIN_SIZE -> Attack Possible
600	2000	e51b0008	ldr	"r0, [fp, #-8]"	o	o	o	o	-	IS -> Attack Possible
600	4000	e51b6008	ldr	"r6, [fp, #-8]"	o	o	o	o	-	IS -> Attack Possible
600	8000	e51ba008	ldr	"sl, [fp, #-8]"	o	o	o	o	-	IS -> Attack Possible
600	20000	e5192008	ldr	"r2, [sb, #-8]"	o	o		o	Initial state	0x40828cd0 <__pointer_chk_guard>: 0xf0f28666
600	100000	e50b2008	str	"r2, [fp, #-8]"	o	o	o	o	-	"str, so IS -> Attack Possible"
600	2000000	e71b2008	ldr	"r2, [fp, -r8]"			o		Initial state	"[fp] = 0x407ff9ac, but r8 != 0; 0x403ff168: 0x00000000 -> Attack Failed"
600	80000000	651b2008	ldrvs	"r2, [fp, #-8]"	o	o	o	o	-	"If V = 1 executed; since NZCV = 0010, not executed -> Attack Possible"
604	0	e1520003	cmp	"r2, r3"	-	-	-	-	-	i vs. PIN_SIZE; loop continues -> Attack Possible
604	1	e1520002	cmp	"r2, r2"	o	o	o	o	-	"Since Z = 1, considered equal, loop continues"
604	4	e1520007	cmp	"r2, r7"			o		Initial state	From r7 = 0x409b0e54 -> Attack Failed
604	10	e1520013	cmp	"r2, r3, lsl r0"	o	o	o	o	-	"From r3 = 4 << *g_userPin = 0x0402050 = 0, N = 0, so loop exits -> Attack Possible"
604	20	e1520023	cmp	"r2, r3, lsr #32"	o	o	o	o	-	"r3 >> 32 = 0 = r2, so N = 0, loop exits -> Attack Possible"
604	40	e1520043	cmp	"r2, r3, asr #32"	o	o	o	o	-	"r3 >> 32 = 0 = r2, so N = 0, loop exits -> Attack Possible"
604	10000	e1530003	cmp	"r3, r3"	o	o	o	o	-	"Since Z = 1, considered equal, loop continues"
604	20000	e1500003	cmp	"r0, r3"	o	o	o	o	-	*g_userPin = 0x402050 vs. PIN_SIZE
604	40000	e1560003	cmp	"r6, r3"	o	o		o	Initial state	r6 0x401ebc
604	200000	e1720003	cmn	"r2, r3"	o	o	o	o	-	"From r2 + r3, N = 0, so loop exits -> Attack Possible"
604	400000	e1120003	tst	"r2, r3"	o	o	o	o	-	"From r2 = 0 AND r3, N = 0, so loop exits -> Attack Possible"
604	800000	e1d20003	bics	"r0, r2, r3"	o	o	o	o	-	"r0 = r2 AND (NOT r3); since r2 = 0, N = 0, so loop exits -> Attack Possible"
604	80000000	61520003	cmpvs	"r2, r3"	o	o	o	o	-	"If V = 1 executed; since NZCV = 0010, not executed, loop exits"
608	0	baffffec	blt	#0xfb8	-	-	-	-	-	Jump to a1 vs. a2 loop
608	8	baffffe4	blt	#0xf98	o	o	o	o	-	"Jump to 5a0; sp is decremented but fp stays; since r2 = i = 0, size = 0, so loop does not run and Attack Possible"
608	10000000	aaffffec	bge	#0xfb8	o	o	o	o	-	"Since r2 < r3, no jump, Attack Possible"
638	0	e3a02000	mov	"r2, #0"	-	-	-	-	-	g_authenticated = 0; for 1 or higher -> Attack Possible; NZCV = 0010
638	1	e3a02001	mov	"r2, #1"	o	o	o	o	-	r2 >= 1
638	2	e3a02002	mov	"r2, #2"	o	o	o	o	-	r2 >= 1
638	4	e3a02004	mov	"r2, #4"	o	o	o	o	-	r2 >= 1
638	8	e3a02008	mov	"r2, #8"	o	o	o	o	-	r2 >= 1
638	10	e3a02010	mov	"r2, #0x10"	o	o	o	o	-	r2 >= 1
638	20	e3a02020	mov	"r2, #0x20"	o	o	o	o	-	r2 >= 1
638	40	e3a02040	mov	"r2, #0x40"	o	o	o	o	-	r2 >= 1
638	80	e3a02080	mov	"r2, #0x80"	o	o	o	o	-	r2 >= 1
638	200000	e3802000	orr	"r2, r0, #0"	o	o		o	Initial state	r2 = r0 = 1 >= 1
638	400000	e3e02000	mvn	"r2, #0"	o	o	o	o	-	r2 = NOT(0) = 0xFFFFFFFF
638	1000000	e2a02000	adc	"r2, r0, #0"	o	o	o	o	-	"r0 = 1, C = 1 -> r2 = 2 >= 1"
638	2000000	e1a02000	mov	"r2, r0"	o	o		o	Initial state	r2 = r0 = 1 >= 1
63c	0	e5c32000	strb	"r2, [r3]"	-	-	-	-	-	g_authenticated = 0
63c	1000	e5c33000	strb	"r3, [r3]"	o	o	o	o	-	r3 = *g_authenticated >= 1 -> Attack Possible
63c	2000	e5c30000	strb	"r0, [r3]"	o	o		o	Initial state	r0 = 1
63c	4000	e5c36000	strb	"r6, [r3]"	o	o		o	Initial state	r6 = 0x401ebc
654	0	e3a02004	mov	"r2, #4"	-	-	-	-	-	r2 = PIN_SIZE; originally r2 = 0 -> IS -> Attack Possible
654	4	e3a02000	mov	"r2, #0"	o	o	o	o	-	PIN_SIZE = 0 -> Attack Possible
654	200	e3a02204	mov	"r2, #4, #4"	o	o	o	o	-	"mov r2, #4, rotate #4 -> r2 = 0x40000000; used in strb -> size = 0 -> Attack Possible"
654	400	e3a02404	mov	"r2, #4, #8"	o	o	o	o	-	"mov r2, #4, rotate #8 -> r2 = 0x04000000; used in strb -> size = 0 -> Attack Possible"
654	800	e3a02804	mov	"r2, #4, #16"	o	o	o	o	-	"mov r2, #4, rotate #16 -> r2 = 0x00040000; used in strb -> size = 0 -> Attack Possible"
654	1000	e3a03004	mov	"r3, #4"	o	o	o	o	-	IS -> Attack Possible
654	2000	e3a00004	mov	"r0, #4"	o	o	o	o	-	IS -> Attack Possible
654	4000	e3a06004	mov	"r6, #4"	o	o	o	o	-	IS -> Attack Possible
654	8000	e3a0a004	mov	"sl, #4"	o	o	o	o	-	IS -> Attack Possible
654	4000000	e7a02004	str	"r2, [r0, r4]!"		o	o		Write attribute	"r0 = r0 + r4 then r2 -> [r0]; r0 = 1, r4 = 0x401fb8, [0x401fb9]; since .text lacks X attribute -> Attack Failed"
654	10000000	f3a02004	vaddl.u32	"q1, d0, d4"	o			o	Unimplemented instruction	"SIMD instruction; q1, d0, d4 are SIMD registers -> IS -> Attack Possible (unicorn does not support SIMD/NEON)"
654	80000000	63a02004	movvs	"r2, #4"	o	o	o	o	-	If V = 1 executed; since NZCV = 0010 -> IS -> Attack Possible
658	0	e59f3090	ldr	"r3, [pc, #0x90]"	-	-	-	-	-	Offset to g_cardPin (added to base address)
658	4	e59f3094	ldr	"r3, [pc, #0x94]"	o	o	o	o	-	Offset to g_userPin -> Attack Possible
65c	0	e7943003	ldr	"r3, [r4, r3]"	-	-	-	-	-	"r3 = *g_cardPin = 0x401ff8, [0x401ff8] = 0x00402054"
65c	4000000	e3943003	orrs	"r3, r4, #3"	o	o	o	o	-	"r4 = 0x401fb8 -> r3 = 0x401fbb, [0x401fbb] = 0 -> Attack Possible"
660	0	e1a01003	mov	"r1, r3"	-	-	-	-	-	r1 = r3 = *g_cardPin
660	400	e1a01403	lsl	"r1, r3, #8"	o	o	o	o	-	"r1 = r3 (0x402054) << 8 = 0x40205400, [0x40205400] = 0 -> Attack Possible"
66c	0	e1a00003	mov	"r0, r3"	-	-	-	-	-	r0 = *g_userPin
66c	2	e1a00001	mov	"r0, r1"	o	o	o	o	-	r1 = *g_cardPin -> Attack Possible
678	0	e3530001	cmp	"r3, #1"	-	-	-	-	-	Check for byteArrayCompare == 1
678	1	e3530000	cmp	"r3, #0"	o	o	o	o	-	Branch -> Attack Possible
678	400000	e3130001	tst	"r3, #1"	o	o	o	o	-	r3 = 0 AND 1 = 0; since Z = 1 -> Attack Possible
678	800000	e3d30001	bics	"r0, r3, #1"	o	o	o	o	-	r0 = r3 AND (NOT 1); since r3 = 0 -> Z = 1 -> Attack Possible
67c	0	1a000009	bne	#0x102c	-	-	-	-	-	move to exit with 0
67c	8000000	12000009	andne	"r0, r0, #9"	o	o	o	o	-	If Z = 0 then executed; same as IS -> Attack Possible
67c	10000000	0a000009	beq	#0x102c	o	o	o	o	-	If Z = 0 -> no jump -> Attack Possible
67c	40000000	5a000009	bpl	#0x102c	o	o	o	o	-	"Jump if N = 0; since 0 - 1 makes N = 1, no jump -> Attack Possible"
75c	0	e59f30ac	ldr	"r3, [pc, #0xac]"	-	-	-	-	-	Offset to *g_countermeasure in r3
75c	200000	e5bf30ac	ldr	"r3, [pc, #0xac]!"		o	o	o	Success condition	r3 = [pc + 8 + 0xac]; pc + 8 + 0xac = 0x400810 -> super_secret
75c	1000000	e49f30ac	ldr	"r3, [pc], #0xac"		o	o	o	Success condition	r3 = [pc + 8] = 0xe3a02000; pc + 8 + 0xac = 0x400810 -> super_secret
76c	0	e3a03000	mov	"r3, #0"	-	-	-	-	-	Loop counter i for g_cardPin initialization; if i > 3 or IS -> Attack Possible
76c	4	e3a03004	mov	"r3, #4"	o	o	o	o	-	i > 3 -> Attack Possible
76c	8	e3a03008	mov	"r3, #8"	o	o	o	o	-	i > 3 -> Attack Possible
76c	10	e3a03010	mov	"r3, #0x10"	o	o	o	o	-	i > 3 -> Attack Possible
76c	20	e3a03020	mov	"r3, #0x20"	o	o	o	o	-	i > 3 -> Attack Possible
76c	40	e3a03040	mov	"r3, #0x40"	o	o	o	o	-	i > 3 -> Attack Possible
76c	80	e3a03080	mov	"r3, #0x80"	o	o	o	o	-	i > 3 -> Attack Possible
76c	1000	e3a02000	mov	"r2, #0"	o	o	o	o	-	IS -> Attack Possible
76c	2000	e3a01000	mov	"r1, #0"	o	o	o	o	-	IS -> Attack Possible
76c	4000	e3a07000	mov	"r7, #0"	o	o	o	o	-	IS -> Attack Possible
