IP	code	opcode	oprand	comment	ChaosDuck	FaultFinder (rehosting)	FaultFinder	FaultInjectionSimulator	FaultARM	Grand Truth	Type	Reason
    1211:	b8 01 00 00 00       	mov	"$0x1,%eax"									
    1216:	eb 05                	jmp	121d <oracle_ptc+0x2a>									
    1218:	b8 00 00 00 00       	mov	"$0x0,%eax"									
    121d:	5d                   	pop	%rbp									
    121e:	c3                   	ret										
000000000000121f <byteArrayCompare>:												
    121f:	f3 0f 1e fa          	endbr64										
    1223:	55	push	%rbp									
    1224:	48 89 e5             	mov	"%rsp,%rbp"									
    1227:	48 89 7d e8          	mov	"%rdi,-0x18(%rbp)"									
    122b:	48 89 75 e0          	mov	"%rsi,-0x20(%rbp)"									
    122f:	89 d0                	mov	"%edx,%eax"									
    1231:	88 45 dc             	mov	"%al,-0x24(%rbp)"		o	o	o	o		o	FaultARM	Skipping allocation for argument size in byteArrayCompare. If stack is zero-initialized -> Attack Possible.
    1234:	c7 45 fc 00 00 00 00 	movl	"$0x0,-0x4(%rbp)"						o			FaultARM
    123b:	eb 2f                	jmp	126c <byteArrayCompare+0x4d>									
    123d:	8b 45 fc             	mov	"-0x4(%rbp),%eax"									
    1240:	48 63 d0             	movslq	"%eax,%rdx"									
    1243:	48 8b 45 e8          	mov	"-0x18(%rbp),%rax"									
    1247:	48 01 d0             	add	"%rdx,%rax"									
    124a:	0f b6 10             	movzbl	"(%rax),%edx"									
    124d:	8b 45 fc             	mov	"-0x4(%rbp),%eax"									
    1250:	48 63 c8             	movslq	"%eax,%rcx"		o	o	o	o		o	FaultARM	"Skipping rcx = i for a2[i]. Traced back to init, g_cardPin = i + 1 = rcx. At loop end, ecx = 4 -> accesses a2[4] (out-of-bound). Zero-init makes this reachable."
    1253:	48 8b 45 e0          	mov	"-0x20(%rbp),%rax"									
    1257:	48 01 c8             	add	"%rcx,%rax"									
    125a:	0f b6 00             	movzbl	"(%rax),%eax"									
    125d:	38 c2                	cmp	"%al,%dl"									
    125f:	74 07                	je	1268 <byteArrayCompare+0x49>									
    1261:	b8 00 00 00 00       	mov	"$0x0,%eax"		o	o	o	o		o	FaultARM	"Skipping eax = 0 before ret. Since eax = a2[i] = g_cardPin, and it's non-zero -> secret reachable."
    1266:	eb 12                	jmp	127a <byteArrayCompare+0x5b>		o	o	o	o		o	FaultARM	"Skipping jump to ret in a1 vs. a2 failure logic. Under Permanent, loop completes and reaches it."
    1268:	83 45 fc 01          	addl	"$0x1,-0x4(%rbp)"									
    126c:	0f b6 45 dc          	movzbl	"-0x24(%rbp),%eax"									
    1270:	39 45 fc             	cmp	"%eax,-0x4(%rbp)"		o	o	o	o		o	FaultARM	"Skipping cmp I < size. In first iteration, tracing back to test %al, %al in verifyPIN at 1292. eax = g_ptc = 3 -> ZF, SF = 0. CF, OF unchanged -> SF non-negative -> jl does not jump -> exits with 1."
    1273:	7c c8                	jl	123d <byteArrayCompare+0x1e>		o	o	o	o		o	FaultARM	Skipping the jl mentioned above -> always exit with 1.
    1275:	b8 01 00 00 00       	mov	"$0x1,%eax"									
    127a:	5d                   	pop	%rbp									
    127b:	c3                   	ret										
000000000000127c <verifyPIN>:												
    127c:	f3 0f 1e fa          	endbr64										
    1280:	55	push	%rbp									
    1281:	48 89 e5             	mov	"%rsp,%rbp"									
    1284:	c6 05 86 2d 00 00 00 	movb	"$0x0,0x2d86(%rip) "	       # 4011 <g_authenticated>								
    128b:	0f b6 05 80 2d 00 00 	movzbl	"0x2d80(%rip),%eax"	        # 4012 <g_ptc>								
    1292:	84 c0                	test	"%al,%al"									
    1294:	7e 4e                	jle	12e4 <verifyPIN+0x68>									
    1296:	ba 04 00 00 00       	mov	"$0x4,%edx"									
    129b:	48 8d 05 76 2d 00 00 	lea	"0x2d76(%rip),%rax "	       # 4018 <g_cardPin>								
    12a2:	48 89 c6             	mov	"%rax,%rsi"									Skipping set of byteArrayCompare argument g_cardPin ($rsi). rsi used as-is; points to already populated data -> false positive.
    12a5:	48 8d 05 68 2d 00 00 	lea	"0x2d68(%rip),%rax"	        # 4014 <g_userPin>	o	o	o	o		o	FaultARM	Skipping load of g_userPin to rax. Prior value of rax is g_cardPin -> a1 = a2 -> always True.
    12ac:	48 89 c7             	mov	"%rax,%rdi"									
    12af:	e8 6b ff ff ff       	call	121f <byteArrayCompare>									
    12b4:	3c 01                	cmp	"$0x1,%al"									
    12b6:	75 15                	jne	12cd <verifyPIN+0x51>		o	o	o	o		o	FaultARM	Skipping jump to failure logic after byteArrayCompare.
    12b8:	c6 05 53 2d 00 00 03 	movb	"$0x3,0x2d53(%rip)"	        # 4012 <g_ptc>								
    12bf:	c6 05 4b 2d 00 00 01 	movb	"$0x1,0x2d4b(%rip) "	       # 4011 <g_authenticated>								
    12c6:	b8 01 00 00 00       	mov	"$0x1,%eax"									
    12cb:	eb 1c                	jmp	12e9 <verifyPIN+0x6d>									
    12cd:	0f b6 05 3e 2d 00 00 	movzbl	"0x2d3e(%rip),%eax"	        # 4012 <g_ptc>								
    12d4:	83 e8 01             	sub	"$0x1,%eax"									
    12d7:	88 05 35 2d 00 00    	mov	"%al,0x2d35(%rip)"	        # 4012 <g_ptc>								
    12dd:	b8 00 00 00 00       	mov	"$0x0,%eax"									
    12e2:	eb 05                	jmp	12e9 <verifyPIN+0x6d>									
    12e4:	b8 00 00 00 00       	mov	"$0x0,%eax"									
    12e9:	5d                   	pop	%rbp									
    12ea:	c3                   	ret				o	o			o	Success condition	ret in VerifyPin leads directly to secret -> correct path.
00000000000012eb <super_secret_function>:												
    12eb:	f3 0f 1e fa          	endbr64										
    12ef:	55	push	%rbp									
    12f0:	48 89 e5             	mov	"%rsp,%rbp"									
    12f3:	90	nop										
    12f4:	5d                   	pop	%rbp									
    12f5:	c3                   	ret										
00000000000012f6 <main>:												
    12f6:	f3 0f 1e fa          	endbr64										
    12fa:	55	push	%rbp									
    12fb:	48 89 e5             	mov	"%rsp,%rbp"									
    12fe:	e8 58 fe ff ff       	call	115b <initialize>									
    1303:	e8 74 ff ff ff       	call	127c <verifyPIN>									
